Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinSocket_1x02_P2.54mm_Vertical,1,+5VCC,
J10,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,LED PWM JST,C131334
J11,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,I2C BH1750 JST,C131334
"J2, J6",PinSocket_1x02_P2.54mm_Vertical,2,GND,
J3,PinSocket_1x10_P2.54mm_Vertical,1,ESP32C6 Left,
J4,PinSocket_1x10_P2.54mm_Vertical,1,ESP32C6 Right,
J5,PinSocket_1x02_P2.54mm_Vertical,1,VCC,
J7,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,I2C BH1750 XH,C161871
J8,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,LED PWM,C161871
J9,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,+12VCC,C22397914
"Q1, Q2, Q3",SOT-23,3,AO3400A,C20917
"R1, R2, R3",0805,3,220R,C17557
"R4, R5, R6",0805,3,150R,C17471
