Designator,Mid X,Mid Y,Rotation,Layer
J1,116.93,-72.65,0.0,top
J10,120.0,-90.75,180.0,top
J11,120.0,-96.55,180.0,top
J2,116.93,-83.318,0.0,top
J3,96.52,-84.81,0.0,top
J4,111.76,-84.77,0.0,top
J5,135.472,-72.65,0.0,top
J6,135.472,-83.318,0.0,top
J7,91.0,-90.17,0.0,top
J8,91.0,-77.47,0.0,top
J9,132.08,-93.29,90.0,top
Q1,104.25,-77.5,90.0,top
Q2,104.25,-82.257618,90.0,top
Q3,104.25,-87.241341,90.0,top
R1,107.7995,-76.5,180.0,top
R2,107.7995,-81.28,180.0,top
R3,107.7995,-86.279093,180.0,top
R4,100.6875,-76.5,180.0,top
R5,100.6875,-81.28,180.0,top
R6,100.6875,-86.36,180.0,top
