Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinSocket_1x01_P2.54mm_Vertical,1,+5VCC,
"J2, J6",PinSocket_1x01_P2.54mm_Vertical,2,GND,
J3,PinSocket_1x10_P2.54mm_Vertical,1,ESP32-C6 left (TX-GP7),
J4,PinSocket_1x10_P2.54mm_Vertical,1,ESP32-C6 right (5v-GP8),
J5,PinSocket_1x01_P2.54mm_Vertical,1,+12VCC,
J7,PinSocket_1x04_P2.54mm_Vertical,1,I2C,
J8,PinSocket_1x04_P2.54mm_Vertical,1,LED,
J9,PinSocket_1x02_P2.54mm_Vertical,1,VCC IN MAX 12V,
"Q1, Q2, Q3",SOT-23,3,AO3400A,C20917
"R1, R2, R3",0805,3,220R,C17557
"R4, R5, R6",0805,3,150R,C17414
